band,album,release_date,date_disp,month_key,sort_key,hmb_genre,hmb_url,cover_url,album_id,upcoming
Beseech,Future Present Past,2026-08-28,"August 28, 2026",August 2026,2026-08-28T00:00:00,,https://heavymetalbest.com/album/beseech/future-present-past?albumId=TlWh9xfMCrmsMlVGMtvL,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FFuture-Present-Past-full-length_1779459859635_200_200.webp?alt=media&token=c7f848f9-95e5-445a-9273-0b8e573a8d1e,TlWh9xfMCrmsMlVGMtvL,True
Burning Sun,Power to Survive,2026-08-21,"August 21, 2026",August 2026,2026-08-21T00:00:00,"Power, Heavy, Heavy Metal, Speed Metal, Power Metal",https://heavymetalbest.com/album/burning-sun/power-to-survive?albumId=98nn954FRm8adJEGJRN5,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FPower-to-Survive-full-length_1779459875589_200_200.webp?alt=media&token=14955453-faed-46a8-b5bc-558b625f7586,98nn954FRm8adJEGJRN5,True
Zornheym,Descending into Madness,2026-07-02,"July 2, 2026",July 2026,2026-07-02T00:00:00,"Death Metal, Melodic Black, Symphonic",https://heavymetalbest.com/album/zornheym/descending-into-madness?albumId=FLfVtk8EptPsh09y9aKs,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FDescending-into-Madness-full-length_1779460104439_200_200.webp?alt=media&token=be070c86-3299-4c78-b15a-c9e051341a65,FLfVtk8EptPsh09y9aKs,True
Revoltons,Seventh Act of a Death Foretold,2026-06-27,"June 27, 2026",June 2026,2026-06-27T00:00:00,"Power Metal, Power, Progressive Metal, Thrash Metal",https://heavymetalbest.com/album/revoltons/seventh-act-of-a-death-foretold?albumId=L1eR3rqivr2LTYEIf6ev,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSeventh-Act-of-a-Death-Foretold-full-length_1779875367158_200_200.webp?alt=media&token=38635f4d-7528-4e26-95fb-6f0b0a5b6c4b,L1eR3rqivr2LTYEIf6ev,True
Beshenitar,Flames of Eternal Blasphemy,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/beshenitar/flames-of-eternal-blasphemy?albumId=ZNJl4rrTmmS5OghN5LmC,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FFlames-of-Eternal-Blasphemy-full-length_1779878042415_200_200.webp?alt=media&token=b2b61953-b519-47c4-9158-5d6558ec9e22,ZNJl4rrTmmS5OghN5LmC,False
Druidess,Trip Meadow,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/druidess/trip-meadow?albumId=2YkoutRKO3GXzKvz3OEX,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FTrip-Meadow-full-length_1781286733034_200_200.webp?alt=media&token=c09dc109-dadd-4d68-9ad8-5c167586a37e,2YkoutRKO3GXzKvz3OEX,True
Verdun,Abyssal Womb,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Doom Metal, Sludge",https://heavymetalbest.com/album/verdun/abyssal-womb?albumId=2fQOpabIJyScg24C1k2C,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAbyssal-Womb-full-length_1781209750143_200_200.webp?alt=media&token=fe94bc61-7edd-45af-9049-fe38bd7f1740,2fQOpabIJyScg24C1k2C,True
Phantom,Not Midnight Yet,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Speed Metal, Thrash Metal, Thrash",https://heavymetalbest.com/album/phantom/not-midnight-yet?albumId=3nT3w4oUsdYI6zIPibQV,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FNot-Midnight-Yet-full-length_1781286937425_200_200.webp?alt=media&token=fbe7d33c-0b8d-408a-98d9-5166f847b7ee,3nT3w4oUsdYI6zIPibQV,True
Vorax,Volcano Shock,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Death Metal,https://heavymetalbest.com/album/vorax/volcano-shock?albumId=42KJDhjy0QxyhuzsEKco,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FVolcano-Shock-full-length_1781286996542_200_200.webp?alt=media&token=7588342d-bc82-42f4-91f5-216221ac85f6,42KJDhjy0QxyhuzsEKco,True
Zørza,Twilight of the Golden Star,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/zørza/twilight-of-the-golden-star?albumId=4OjiVy0qXML1cW3goyLs,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FTwilight-of-the-Golden-Star-full-length_1781287002072_200_200.webp?alt=media&token=db494b03-de3d-4422-bfad-03c8b58cf153,4OjiVy0qXML1cW3goyLs,True
Temple ov Ahriman,Heretics of Consensual Reality,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Black Metal,https://heavymetalbest.com/album/temple-ov-ahriman/heretics-of-consensual-reality?albumId=5ocaEZjotppM9jwfiqMo,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FHeretics-of-Consensual-Reality-full-length_1781286972357_200_200.webp?alt=media&token=47b9796c-bb22-40a5-a7a6-6e97baf9e710,5ocaEZjotppM9jwfiqMo,True
Ruyned,Profanum Sacrificium,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Death Metal, Black Metal, Thrash, Thrash Metal, Death",https://heavymetalbest.com/album/ruyned/profanum-sacrificium?albumId=9DsxGWBJ6e1FHlOyFMXk,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FProfanum-Sacrificium-full-length_1781295359687_200_200.webp?alt=media&token=3c744f8a-07c5-4307-b6b7-045b775231af,9DsxGWBJ6e1FHlOyFMXk,True
Alkuharmonian Kantaja,Melas Khole,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/alkuharmonian-kantaja/melas-khole?albumId=AKzyIYh2fLE0ReOajlGF,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMelas-Khole-full-length_1781295073515_200_200.webp?alt=media&token=6b78698d-b630-4837-b0e3-67244ff4bbf2,AKzyIYh2fLE0ReOajlGF,True
Fyrgast,Mountains of Doom,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Black Metal,https://heavymetalbest.com/album/fyrgast/mountains-of-doom?albumId=BQqJfoFLlruzhce8IQHm,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMountains-of-Doom-full-length_1781295249683_200_200.webp?alt=media&token=414d24d8-8c73-4c43-80f8-697f63960269,BQqJfoFLlruzhce8IQHm,True
Morgal,The Seventh Circle,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Black Metal,https://heavymetalbest.com/album/morgal/the-seventh-circle?albumId=ChzKm5YXrnsUySIuiC7h,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Seventh-Circle-full-length_1781286923103_200_200.webp?alt=media&token=cff712d0-7a7e-4adb-9934-b00d07c7a669,ChzKm5YXrnsUySIuiC7h,True
Crying Steel,Agent Steel,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Heavy Metal, Heavy, Power Metal",https://heavymetalbest.com/album/crying-steel/agent-steel?albumId=EnImWCZ5SV1kyWkEQC2s,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAgent-Steel-full-length_1781295129886_200_200.webp?alt=media&token=aaf8c281-e14a-4d7b-94ef-d001ed64bc03,EnImWCZ5SV1kyWkEQC2s,True
