band,album,release_date,date_disp,month_key,sort_key,hmb_genre,hmb_url,cover_url,album_id,upcoming,final_genre,genre_status,genre_source,filter_slugs,ma_search_url
Beseech,Future Present Past,2026-08-28,"August 28, 2026",August 2026,2026-08-28T00:00:00,,https://heavymetalbest.com/album/beseech/future-present-past?albumId=TlWh9xfMCrmsMlVGMtvL,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FFuture-Present-Past-full-length_1779459859635_200_200.webp?alt=media&token=c7f848f9-95e5-445a-9273-0b8e573a8d1e,TlWh9xfMCrmsMlVGMtvL,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Beseech&type=band_name
Burning Sun,Power to Survive,2026-08-21,"August 21, 2026",August 2026,2026-08-21T00:00:00,"Speed Metal, Power, Heavy, Heavy Metal, Power Metal",https://heavymetalbest.com/album/burning-sun/power-to-survive?albumId=98nn954FRm8adJEGJRN5,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FPower-to-Survive-full-length_1779459875589_200_200.webp?alt=media&token=14955453-faed-46a8-b5bc-558b625f7586,98nn954FRm8adJEGJRN5,True,Speed Metal,verified,firebase,speed-metal,https://www.metal-archives.com/search?searchString=Burning%20Sun&type=band_name
Zornheym,Descending into Madness,2026-07-02,"July 2, 2026",July 2026,2026-07-02T00:00:00,"Symphonic, Melodic Black, Death Metal",https://heavymetalbest.com/album/zornheym/descending-into-madness?albumId=FLfVtk8EptPsh09y9aKs,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FDescending-into-Madness-full-length_1779460104439_200_200.webp?alt=media&token=be070c86-3299-4c78-b15a-c9e051341a65,FLfVtk8EptPsh09y9aKs,True,Symphonic Metal,verified,firebase,symphonic-metal,https://www.metal-archives.com/search?searchString=Zornheym&type=band_name
Revoltons,Seventh Act of a Death Foretold,2026-06-27,"June 27, 2026",June 2026,2026-06-27T00:00:00,"Thrash Metal, Power, Power Metal, Progressive Metal",https://heavymetalbest.com/album/revoltons/seventh-act-of-a-death-foretold?albumId=L1eR3rqivr2LTYEIf6ev,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSeventh-Act-of-a-Death-Foretold-full-length_1779875367158_200_200.webp?alt=media&token=38635f4d-7528-4e26-95fb-6f0b0a5b6c4b,L1eR3rqivr2LTYEIf6ev,True,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Revoltons&type=band_name
Tarja,Frisson noir,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/tarja/frisson-noir?albumId=7RcaSIMGLW3or7pGYfte,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FFrisson-noir-full-length_1779310504103_200_200.webp?alt=media&token=ac3e4107-edc7-49bd-82b2-70c2dc06408f,7RcaSIMGLW3or7pGYfte,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Tarja&type=band_name
Atomic Terror,Acts of Violence,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Thrash Metal,https://heavymetalbest.com/album/atomic-terror/acts-of-violence?albumId=2i0ZRShAoU8zSMdPjqZe,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FActs-of-Violence-full-length_1780047656303_200_200.webp?alt=media&token=5c10513b-9833-4bdf-9367-5b70d66916bf,2i0ZRShAoU8zSMdPjqZe,True,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Atomic%20Terror&type=band_name
Vanden Plas,AcCult 2,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Progressive Metal,https://heavymetalbest.com/album/vanden-plas/accult-2?albumId=2iqkfuhLtOzc0HOuXUdi,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAcCult-2-full-length_1779875511198_200_200.webp?alt=media&token=c7654cc5-d43b-4b7b-a8a9-35e8e4d9f0ae,2iqkfuhLtOzc0HOuXUdi,True,Progressive Metal,verified,firebase,progressive-metal,https://www.metal-archives.com/search?searchString=Vanden%20Plas&type=band_name
Ka'aper,When Gods Walked the Earth,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/ka'aper/when-gods-walked-the-earth?albumId=3MnM0JcylPJ8HeATwBwv,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FWhen-Gods-Walked-the-Earth-full-length_1779969746063_200_200.webp?alt=media&token=4fc9aee5-a561-4c83-b992-92db614a71ca,3MnM0JcylPJ8HeATwBwv,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Ka%27aper&type=band_name
Ljuset,Ljuset,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Black Metal, Post-Punk, Melodic Black Metal",https://heavymetalbest.com/album/ljuset/ljuset?albumId=5K0JB1ysA5oEP9ciBOqu,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FLjuset-full-length_1779969782877_200_200.webp?alt=media&token=622bbca0-db9a-4964-957d-90b055089d50,5K0JB1ysA5oEP9ciBOqu,True,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Ljuset&type=band_name
Estertor,Evil Black Church,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Thrash Metal,https://heavymetalbest.com/album/estertor/evil-black-church?albumId=62amkCOV16hOrze2ly3D,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEvil-Black-Church-full-length_1779875025836_200_200.webp?alt=media&token=e27aaffe-89b0-4ba7-85c3-7a7ac3388273,62amkCOV16hOrze2ly3D,True,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Estertor&type=band_name
