band,album,release_date,hmb_genre,final_genre,genre_status,hmb_url,ma_search_url
Abandon Agony,Endbringer,2026-05-22,,Needs Review,needs_review,https://heavymetalbest.com/album/abandon-agony/endbringer?albumId=K0bMUmOizhQkICZ7EbqM,https://www.metal-archives.com/search?searchString=Abandon%20Agony&type=band_name
Anna Fiori,Metztli,2026-05-21,,Needs Review,needs_review,https://heavymetalbest.com/album/anna-fiori/metztli?albumId=mbybNU5HJtyUqu5ITjzO,https://www.metal-archives.com/search?searchString=Anna%20Fiori&type=band_name
Gozu,Gozu VI,2026-05-15,,Needs Review,needs_review,https://heavymetalbest.com/album/gozu/gozu-vi?albumId=OkNRZDF8JzuCsAR8trtq,https://www.metal-archives.com/search?searchString=Gozu&type=band_name
Atavistia,Old Gods Awaken,2026-05-15,,Needs Review,needs_review,https://heavymetalbest.com/album/atavistia/old-gods-awaken?albumId=ZA4fTwAybQ4UuqdSAObr,https://www.metal-archives.com/search?searchString=Atavistia&type=band_name
Junon,The Golden Citadel of the Astral Sphere,2026-05-15,,Needs Review,needs_review,https://heavymetalbest.com/album/junon/the-golden-citadel-of-the-astral-sphere?albumId=foUatJDQO7ef1XCOE63K,https://www.metal-archives.com/search?searchString=Junon&type=band_name
Inthraced,Constellation Zero,2026-05-15,,Needs Review,needs_review,https://heavymetalbest.com/album/inthraced/constellation-zero?albumId=nXNzp2Bsp7SeCZyXHtKc,https://www.metal-archives.com/search?searchString=Inthraced&type=band_name
Defect Designer,Depressants,2026-05-15,,Needs Review,needs_review,https://heavymetalbest.com/album/defect-designer/depressants?albumId=oSowD2CGJarBbYFCiQn1,https://www.metal-archives.com/search?searchString=Defect%20Designer&type=band_name
Revenge Ritual,Arbitrary Punishment,2026-05-15,,Needs Review,needs_review,https://heavymetalbest.com/album/revenge-ritual/arbitrary-punishment?albumId=xG60qj5ztLKgDqOsbWpx,https://www.metal-archives.com/search?searchString=Revenge%20Ritual&type=band_name
Drain of Impurity,The Dark Ascension of the Supreme Prometheus Gods,2026-05-12,,Needs Review,needs_review,https://heavymetalbest.com/album/drain-of-impurity/the-dark-ascension-of-the-supreme-prometheus-gods?albumId=nXMdXmw4t51BdH0CZzUo,https://www.metal-archives.com/search?searchString=Drain%20of%20Impurity&type=band_name
IIIusion,IIIusion,2026-05-11,,Needs Review,needs_review,https://heavymetalbest.com/album/iiiusion/iiiusion?albumId=b89bPdX8Ax7MiZPKohCM,https://www.metal-archives.com/search?searchString=IIIusion&type=band_name
